"","abundance.1","abundance.2","abundance.3","abundance.4","abundance.5","abundance.6","counts.1","counts.2","counts.3","counts.4","counts.5","counts.6","length.1","length.2","length.3","length.4","length.5","length.6","countsFromAbundance"
"ENSMUSG00000038335",14.07,14.11,18.48,14.38,19.27,11.31,347.9,353.61,357.59,299.98,325,200.84,2369.72,2309.4,2066.08,2067.23,1838.07,2549.18,"no"
"ENSMUSG00000038342",2.56,3.62,3.33,2.94,2.76,2.21,163,271,207,173,184,100,6096.48,6905.86,6642.4,5830.05,7254,6501.19,"no"
"ENSMUSG00000038344",9.91,7.69,9.5,7.36,7.93,8.51,392,323.35,327,287.23,287.54,223,3792.95,3871.51,3674.06,3869.81,3952.77,3763.51,"no"
"ENSMUSG00000038346",11.9,16.93,15.53,14.06,14.08,10.51,314.56,472,368,360,349,190,2534.57,2568.52,2530.16,2537.26,2700.63,2594.77,"no"
"ENSMUSG00000038347",0.24,0.28,0.23,0.23,0.43,0.03,3,4,5,4,8,1,1185,1318.68,2365.64,1750.04,2005.69,4297,"no"
"ENSMUSG00000038349",0.16,0.21,0.42,0.03,0.09,0.16,6,8,14,1,3,4,3581,3581,3581,3581,3581,3581,"no"
"ENSMUSG00000038351",1.74,2.03,2.08,2.02,2.1,2.63,87,103,80,95,91,55,4804.45,4670.34,4099.4,4669.85,4727.05,3004.47,"no"
"ENSMUSG00000038352",0.54,0.18,0.62,0,0.07,0.44,5,2,5,0,1,3,887.83,1026.16,858.37,1148,1522,977.85,"no"
"ENSMUSG00000038354",0,0.2,0,0.03,0,0,0,2,0,1,0,0,2345,910,2345,3141,2345,2345,"no"
"ENSMUSG00000038357",0.17,0,0.19,0,0,0,1,0,1,0,0,0,552,552,552,552,552,552,"no"
"ENSMUSG00000038365",2.64,4,3.05,2.78,3.5,2.86,54,85,56,55,63,39,1959,1959,1959,1959,1959,1959,"no"
"ENSMUSG00000038366",30.92,46.09,42.79,35.81,42.88,33.11,1028,1448.77,1374,1214,1050.8,697,3186.4,2896.08,3428.28,3359.99,2670.54,3022.02,"no"
"ENSMUSG00000038368",4.09,3.36,3.57,2.56,3.34,3.3,220.39,200.25,176.15,147.86,170.11,114.14,5160.32,5498.01,5274.26,5722.49,5552.64,4962.07,"no"
"ENSMUSG00000038369",6.73,7.84,7.58,6.29,7.01,6.35,425,505,431,399,388,256,6048.42,5932.12,6071.85,6281.97,6035.02,5783.48,"no"
"ENSMUSG00000038370",4.2,4.28,3.07,1.75,2.14,2.16,67,71,44,27,30,23,1528,1528,1528,1528,1528,1528,"no"
"ENSMUSG00000038371",12.36,10.59,8.21,7.17,9.94,10.65,705,631,501,485,511,397,5465.18,5491.09,6513,6702.97,5600.61,5354.21,"no"
"ENSMUSG00000038372",1.23,0.96,1.29,0.18,1.13,1.4,21,17,20,3,17,16,1636,1636,1656.39,1636,1636,1636,"no"
"ENSMUSG00000038374",8.03,9.76,9.94,10.98,10.41,7,214.08,270.56,238,283,244,124.52,2555,2555,2555,2555,2555,2555,"no"
"ENSMUSG00000038375",66.11,90.19,80.95,108.68,94.75,77.89,2389,3461,2697,3729,3008,1884,3463.33,3535.26,3557.1,3400.43,3459.79,3472.45,"no"
"ENSMUSG00000038379",0.03,0.06,0.07,0.24,0.11,0.1,1,2,2,7,3,2,2855,2855,2855,2855,2855,2855,"no"
"ENSMUSG00000038383",9.38,11.95,9.04,10.73,11.76,10,165,225,145,188,183,121,1685.66,1734.34,1711.7,1735.88,1696.11,1737.05,"no"
"ENSMUSG00000038384",5.75,7.32,5.79,7.05,4.78,3.9,397.22,538.06,372.08,475.09,312,171.1,6624.98,6776.13,6865.37,6676.02,7120.55,6290.44,"no"
"ENSMUSG00000038387",15.8,20.45,21.74,19.22,17.97,13.15,153,206,189,180,153,85,928,928,928,928,928,928,"no"
"ENSMUSG00000038388",30.06,37.28,33.12,26.17,35.84,32.59,593,682,561,449,578,417,1890.9,1685.3,1808.31,1700.12,1757.81,1836.97,"no"
"ENSMUSG00000038390",0.47,0.21,0.16,0.41,0.17,0.27,13,6,4,11,4,5,2627,2627,2627,2627,2627,2627,"no"
"ENSMUSG00000038393",78.54,64.12,43.76,28.63,38.12,31.39,1816,1331,956.54,674,745,561,2216.04,1912.24,2333.64,2332.95,2129.73,2565.55,"no"
"ENSMUSG00000038398",6.45,5.65,8.52,7.25,6.77,4.78,91,83,108,99,84,45,1353,1353,1353,1353,1353,1353,"no"
"ENSMUSG00000038400",0.57,2.47,0.8,2.07,0.65,1.93,12,33,21,39,20,28,2013,1230.17,2818.2,1869.21,3355,2087.56,"no"
"ENSMUSG00000038402",0,0,0,0,0,0,0,0,0,0,0,0,2314,2314,2314,2314,2314,2314,"no"
"ENSMUSG00000038403",22.31,20.93,25.5,32.61,33.22,28.47,459,448,471,649,601,391,1972,1972,1972,1972,1972,1972,"no"
"ENSMUSG00000038406",12.48,17.34,16.94,12.05,12.37,7.63,332,577,423,469,405,205,2549.96,3066.23,2666.66,3858.54,3567.05,3858.34,"no"
"ENSMUSG00000038408",0,0,0,0,0,0,0,0,0,0,0,0,888.33,888.33,888.33,888.33,888.33,888.33,"no"
"ENSMUSG00000038412",10.44,11.12,9.68,13.07,14.14,10.93,198.61,220.07,165.43,240.61,236.59,138.83,1824,1824,1824,1824,1824,1824,"no"
"ENSMUSG00000038415",2.46,14.74,16.02,2.99,4.16,10.62,70.58,440.45,413,83.14,104.93,203.51,2752,2752,2752,2752,2752,2752,"no"
"ENSMUSG00000038416",11.37,9.22,10.76,9.04,12.36,11.67,247,215,207,200,243,164,2082.54,2148.42,2054.37,2191.3,2142.34,2018.2,"no"
"ENSMUSG00000038417",5.46,5.62,5.61,5.7,5.15,6.25,183,196,169,185,152,140,3214,3214,3214,3214,3214,3214,"no"
"ENSMUSG00000038418",3.43,102.61,61.9,8.49,5.73,6.3,107,3346,1748,257,157,134,2987,3004.06,3014.59,2998.67,2987,3055.4,"no"
"ENSMUSG00000038421",0.45,0.09,0.17,0.09,0.53,0.43,6,1,1,1,6,4,1280.4,1067,614,1067,1233,1322,"no"
"ENSMUSG00000038422",8.79,9.01,8.87,13.89,15.08,14.41,106,113,96,162,160,116,1156,1156,1156,1156,1156,1156,"no"
"ENSMUSG00000038425",1.89,1.69,1.46,1.94,2.72,1.91,54,48.01,40,51,69,34.73,2737.7,2613,2925.95,2610.75,2760.05,2611.03,"no"
"ENSMUSG00000038429",26.83,29.78,24.74,25.62,30.01,30.97,598,743,589,669,655,460,2136.4,2298.74,2541.27,2587.87,2378.68,2132.58,"no"
"ENSMUSG00000038437",2.97,4.67,5.95,3.78,3.13,4.37,220,282,215,198,181,112,7104.71,5564.8,3857.94,5192.63,6303.06,3683.56,"no"
"ENSMUSG00000038446",12.01,11.24,11.96,10.65,11.62,9.75,415,404,371,356,353,225,3312,3312,3312,3312,3312,3312,"no"
"ENSMUSG00000038451",4.13,7.15,7.76,7.31,5.92,5.62,52,83,73,76,57,44,1207.71,1069.61,1004.95,1030.97,1048.81,1124,"no"
"ENSMUSG00000038453",0.1,0.1,0,0.08,0.05,0,5,6,0,6,3,0,4605,5526,3370.8,7005,7005,3370.8,"no"
"ENSMUSG00000038456",1.5,1.23,0.85,1.28,1.31,2.54,45,53,28,51,39,44,2882.86,3982.23,3506.7,3938.91,3247.61,2490.15,"no"
"ENSMUSG00000038457",0,0,0,0,0,0,0,0,0,0,0,0,1143.5,1143.5,1143.5,1143.5,1143.5,1143.5,"no"
"ENSMUSG00000038459",33.06,30.98,29.95,26.03,27.73,28.53,755,736,614,575,557,435,2189,2189,2189,2189,2189,2189,"no"
"ENSMUSG00000038462",122.32,107.34,109.12,92.09,123.5,112.65,1677,1531,1343,1221,1489,1031,1314,1314,1314,1314,1314,1314,"no"
"ENSMUSG00000038463",0.06,0,0.04,0.23,0.18,0.33,2,0,1,7,5,7,3046,3046,3046,3046,3046,3046,"no"
"ENSMUSG00000038467",21.35,30.99,31.41,28.65,34.2,26.75,349,510,461,453,471,292,1567,1516.33,1567,1567,1500.94,1567,"no"
"ENSMUSG00000038473",2.34,3.21,3.49,4.6,3.21,7.07,16.49,22.98,25,33.1,30,41,674.92,658.5,764.9,712.55,1018.4,832.32,"no"
"ENSMUSG00000038481",1.85,1.58,1.87,1.39,1.65,1.45,111,99,101,79,85,58,5758,5758,5758,5626,5626,5758,"no"
"ENSMUSG00000038482",11.61,16.24,12.03,13.09,13.86,16.35,200,291,186,218,210,188,1651,1651,1651,1651,1651,1651,"no"
"ENSMUSG00000038485",3.8,4.06,3.32,3.04,3.2,3.9,212,222,184,174,159,114,5352.36,5039.04,5917.76,5670.31,5418.23,4198.65,"no"
"ENSMUSG00000038486",0,0,0,0.02,0,0,0,0,0,1,0,0,2488,2488,2488,4285,2488,2488,"no"
"ENSMUSG00000038489",2.62,2.35,2.75,4.81,5.06,2.65,43.69,40.76,41.22,77.67,74.31,29.56,1601,1601,1601,1601,1601,1601,"no"
"ENSMUSG00000038491",0,0,0,0,0,0,0,0,0,0,0,0,780,780,780,780,780,780,"no"
"ENSMUSG00000038495",7.45,5.68,8.76,5.12,8.9,5.32,394,477,426,375,410,229,5068.28,7741.61,5194.04,7264.6,5019.16,6181.69,"no"
"ENSMUSG00000038496",0,0,0,0,0,0,0,0,0,0,0,0,2089.67,2089.67,2089.67,2089.67,2089.67,2089.67,"no"
"ENSMUSG00000038497",1.45,1.71,1.14,1.68,1.48,2.02,68,83,48,76,61,63,4484,4484,4484,4484,4484,4484,"no"
"ENSMUSG00000038498",0,0,0,0,0,0,0,0,0,0,0,0,2012,2012,2012,2012,2012,2012,"no"
"ENSMUSG00000038500",5.75,4.35,5.13,4.52,5.56,4.25,73,68,64.2,67.26,69,46,1217.38,1439.46,1336.06,1473.98,1352.78,1554.61,"no"
"ENSMUSG00000038502",24.83,36.33,29.25,36.6,37.91,29.29,280.76,414.5,282.22,357.87,329.45,185.3,1083.73,1051.24,1029.96,969.05,946.98,908.29,"no"
"ENSMUSG00000038503",13.18,17.57,16.38,22.84,23.98,12.64,328,325,269,320,350,214,2384.95,1704.4,1753.02,1388.45,1590.87,2431.53,"no"
"ENSMUSG00000038506",5.62,6.37,6.41,6.01,6.78,6.89,173,201,175,175,184,140,2948.48,2906.21,2913.23,2887.13,2958.27,2917.9,"no"
"ENSMUSG00000038507",14.32,10.84,11.37,14,14.15,16.86,434,371,314,427,396,355,2905.33,3152.75,2948.8,3022.66,3049.22,3022.8,"no"
"ENSMUSG00000038508",1.22,4.08,3.29,3.5,2.21,0.97,17,59,44,47,27,9,1331,1331,1428.39,1331,1331,1331,"no"
"ENSMUSG00000038510",11.52,8.36,9.9,6.18,17.63,10.51,100,82,90,57,133,75,831.63,903.35,970.24,913.62,822.07,1024.39,"no"
"ENSMUSG00000038515",11.86,13.3,12.02,9.74,9.42,8.77,156,182,142,124,109,77,1261,1261,1261,1261,1261,1261,"no"
"ENSMUSG00000038517",1.88,2.28,2.11,2.57,3.15,1.81,51,66,64,81,70,40,2594.87,2670.15,3239,3127.54,2418.78,3168.49,"no"
"ENSMUSG00000038518",3.85,3.16,2.32,2.98,3.46,2.57,161,146,124,165,133,98,4005.8,4258.44,5711.23,5481.11,4185.13,5472.58,"no"
"ENSMUSG00000038520",12.96,14.57,14.16,14.31,14.83,10.19,310,343,304,331,306,163,2291.95,2168.27,2292.66,2292.78,2249.37,2296.13,"no"
"ENSMUSG00000038521",249.89,242.01,260.24,264.59,266.95,273.54,5759,5940,5361,6267,5767.59,4386,2208.85,2261.19,2199.28,2347.21,2354.65,2302.01,"no"
"ENSMUSG00000038522",26.52,21.13,21.96,15.26,20.54,18.21,700.19,587.93,540.57,404.59,495.23,333.29,2530.66,2563.05,2628,2628,2628,2628,"no"
"ENSMUSG00000038523",0,0,0.16,0.16,0,0,0,0,1,1,0,0,648,648,655,634,648,648,"no"
"ENSMUSG00000038524",0.53,1.1,1.17,0.32,0.29,1.76,11.71,16.12,8,12.85,9.77,10,2123.62,1349.63,727.46,3958.05,3643.29,815.71,"no"
"ENSMUSG00000038525",3.26,2.55,3.21,3.59,2.75,2.79,79,59,66,76,53,44,2321.63,2127.81,2195.13,2099.04,2097.92,2262.82,"no"
"ENSMUSG00000038526",24.48,28.5,34.36,24.82,28.55,21.91,402.5,506.34,488.78,370.96,424.58,238.28,1575.68,1636.65,1518.73,1481.43,1620.68,1561.05,"no"
"ENSMUSG00000038527",49.52,53.61,53.54,70.82,71.48,61.97,1530,1723,1485,2116,1942,1278,2961,2961,2961,2961,2961,2961,"no"
"ENSMUSG00000038528",0.26,0.25,0.16,0.22,0.2,0.1,5.29,7.71,4.34,6.53,5.31,2.03,1934.55,2833.1,2929,2929,2929,2929,"no"
"ENSMUSG00000038530",0.6,0.55,1.03,1.59,0.7,1.34,18,17,22,31,16,27,2892,2862.8,2288,1934.4,2496,2892,"no"
"ENSMUSG00000038533",3.69,2.15,2.54,2.72,4.69,5.13,129.81,129.86,121.04,138.08,127.68,94.23,3373.13,5574.09,5084.88,5023,2968.93,2637.38,"no"
"ENSMUSG00000038534",0.62,0.74,0.41,0.97,0.65,0.39,10,23,13,9,18,10,1558.08,2882.67,3344.47,919.55,3006,3722,"no"
"ENSMUSG00000038535",8.04,6.51,3.72,5.42,6.62,6.37,248,147,136.23,133,135,141,2955,2079.5,3907.58,2433.53,2223.79,3177.31,"no"
"ENSMUSG00000038537",0,0,0,0,0,0,0,0,0,0,0,0,2574,2574,2574,2574,2574,2574,"no"
"ENSMUSG00000038538",6.63,5.06,4.81,4.01,4.61,4.55,817.83,703.32,554.45,493.66,505.27,389.78,11829.01,12797.84,12315.28,12201.29,11936.54,12287.25,"no"
"ENSMUSG00000038539",47.72,95.37,87,140.13,119.24,62.3,873.07,1827.38,1439.19,2496.59,1931.5,761.56,1753.56,1765.31,1766,1765.57,1765.33,1755.04,"no"
"ENSMUSG00000038540",0.25,0.16,0.15,0.18,0.23,0.23,16,10,8,11,13,9,6172,5680.35,5657.27,5971.17,6172,5621.06,"no"
"ENSMUSG00000038541",1.31,1.03,3.05,0.62,1.76,2.32,11,9,23,5,13,13,805,805,805,805,805,805,"no"
"ENSMUSG00000038542",8.96,8.11,6,7.28,10.6,6.94,164.23,178.61,157.8,171.73,161.95,99.43,1757.55,2030.07,2806.88,2337.06,1664.45,2056.73,"no"
"ENSMUSG00000038543",0.83,1.62,1.88,2.09,2.39,2.76,4,11,10,11,11,12,459.77,625.43,568.24,521.96,502,623.67,"no"
"ENSMUSG00000038544",2.65,2.29,2.29,2.27,2.8,1.75,66,59,47,53,59,34,2388.35,2370.23,2191.07,2317.34,2295.13,2785.51,"no"
"ENSMUSG00000038545",1.86,2.33,2.63,2.44,2.8,2.45,99.26,97,76.03,99.15,93,72.19,5121.79,3827.37,3081.33,4028.22,3620.86,4233.09,"no"
"ENSMUSG00000038546",16.7,12.4,15.11,11.57,16.55,14.28,525.24,405.76,426.73,351.86,457.94,299.96,3015,3015,3015,3015,3015,3015,"no"
"ENSMUSG00000038550",0.5,1.51,2.83,12.81,11.88,13.4,8,21,30,154,116,118,1541.71,1278.3,1130.82,1191.67,1064.31,1264.03,"no"
"ENSMUSG00000038552",14.66,19.37,18.04,19.4,20.77,16.74,262,322,262,300,296,178,1713.28,1531.4,1550.68,1532.14,1553.07,1526.84,"no"
"ENSMUSG00000038555",0,0,0.23,0.05,0,0.08,0,0,4,1,0,1,1877,1877,1877,1877,1877,1877,"no"
"ENSMUSG00000038560",0,0,0,0,0,0,0,0,0,0,0,0,3534.5,3534.5,3534.5,3534.5,3534.5,3534.5,"no"
"ENSMUSG00000038563",3.94,3.55,3.81,4.63,4.34,3.92,121,134,123,150,133,94,2945.72,3477.72,3443.09,3209.09,3340.49,3441.56,"no"
"ENSMUSG00000038564",4.08,3.94,3.07,3.38,3.58,3,228,229,154,183,176,112,5358,5358,5358,5358,5358,5358,"no"
"ENSMUSG00000038567",0,0,0,0,0,0,0,0,0,0,0,0,3511,3511,3511,3511,3511,3511,"no"
"ENSMUSG00000038569",0.73,0.82,0.7,1.12,0.53,0.97,10.14,18.99,15.16,16.08,11.29,15.67,1324.44,2145.65,2324,1417.54,2324,2324,"no"
"ENSMUSG00000038570",0.57,0.05,0.19,0.31,0.13,0.16,5,1,4,2,3,3,833.59,1977,2294.68,638.88,2424.54,2734,"no"
"ENSMUSG00000038572",0,0,0,0,0,0,0,0,0,0,0,0,1588,1588,1588,1588,1588,1588,"no"
"ENSMUSG00000038576",12.92,16.32,15.09,21.51,14.38,11.15,369,493,374,595,358,226,2738.05,2783.2,2645.38,2741.85,2713.31,2911.12,"no"
"ENSMUSG00000038578",6.02,2.38,4.85,3.72,4.68,4.23,74,57,64,48,65,50,1178.22,2205.9,1409.54,1279.27,1512.68,1698.36,"no"
"ENSMUSG00000038580",0,0,0.48,0,0,0,0,0,2,0,0,0,463.5,463.5,442,463.5,463.5,463.5,"no"
"ENSMUSG00000038582",8.86,9.03,11.05,9.21,11.28,12.1,319.86,344.01,368.84,324.92,350.71,260.33,3458.26,3510.85,3564.4,3495.65,3389.12,3089.96,"no"
"ENSMUSG00000038583",0.17,0,0.14,0.04,0,0.06,4,0,3,1,0,1,2304,2367.5,2304,2304,2367.5,2304,"no"
"ENSMUSG00000038587",1.01,1.93,2.72,1.01,2.02,2.2,65,130,158,63,115,95,6195,6195,6195,6195,6195,6195,"no"
"ENSMUSG00000038591",10.96,8.83,9.06,6.64,9.68,8.95,519,435,385,304,403,283,4538,4538,4538,4538,4538,4538,"no"
"ENSMUSG00000038593",1.74,1.1,1.12,1.84,0.97,0.76,23.92,22.69,23.54,24.7,18.64,7.82,1314.68,1903.66,2243.86,1331.47,2104.1,1478.67,"no"
"ENSMUSG00000038594",9.87,13.15,15.4,12.42,13.2,14.35,272,377,381,331,320,264,2642,2642,2642,2642,2642,2642,"no"
"ENSMUSG00000038598",0,0,0,0,0,0,0,0,0,0,0,0,3452,3452,3452,3452,3452,3452,"no"
"ENSMUSG00000038599",1.19,2.18,2.22,2.8,1.98,1.91,30,57,50,68,44,32,2422.78,2411.38,2404.79,2409.27,2419.57,2401.43,"no"
"ENSMUSG00000038600",0.15,0.4,0.23,0.1,0,0.04,5,3.06,3.17,3.11,0,1,3236,701.54,1453.69,3236,1365.14,3236,"no"
"ENSMUSG00000038602",0.1,0.04,0.04,0.02,0.02,0.03,5,2,2,1,1,1,4892,4892,4892,4892,4892,4892,"no"
"ENSMUSG00000038604",3.4,4.06,3.44,3.17,3.84,3.22,144,179,131,130,143,91,4060,4060,4060,4060,4060,4060,"no"
"ENSMUSG00000038605",0.41,0.68,0.46,0.61,0.37,0.68,9,12,7,13,7,10,2082,1636.8,1609.89,2115,2082,2115,"no"
"ENSMUSG00000038607",5.28,5.13,4.11,4.07,4.01,6.66,60,62,44,47,41,53,1088.42,1112.8,1143,1143,1115.63,1143,"no"
"ENSMUSG00000038608",1.37,1.5,1.21,1.2,1.16,1.58,104,118,82,88,77,80,7254,7254,7254,7254,7254,7254,"no"
"ENSMUSG00000038611",6.6,11.42,11.8,6.15,9.18,5.43,239,379,314,242,318,159,3471.67,3056.41,2841.91,3901.2,3776.79,4201.74,"no"
"ENSMUSG00000038612",32.33,32.58,34.96,26.83,29.28,28.29,1159,1215,1125,921,923,677,3436,3436,3436,3402.23,3436,3436,"no"
"ENSMUSG00000038615",35.29,36.52,38.44,38.15,32.98,32.73,1147,1530,1268,1490,1114,750,3115.47,3859.35,3522.1,3870.8,3681.03,3289.64,"no"
"ENSMUSG00000038618",7.27,10.72,10.32,12.1,12.4,9.95,112,123,110,131,152,91,1476,1056.97,1137.54,1072.95,1335.56,1313.7,"no"
"ENSMUSG00000038619",18.92,23.45,21.4,21.43,25.45,21.64,365,449,385,399,435,286,1848.63,1763.83,1920.42,1845.11,1862.86,1897.52,"no"
"ENSMUSG00000038622",8.86,4.6,5.2,4.82,5.04,4.37,76,41,40,40,38,25,822,822,822,822,822,822,"no"
"ENSMUSG00000038623",3.24,2.72,1.97,2.55,2.64,2.74,46.02,43.25,34.19,47.62,47.63,34.63,1361.63,1465.16,1855.11,1853.24,1966.98,1816.85,"no"
"ENSMUSG00000038624",0,0.13,0,0.06,0,0,0,2,0,1,0,0,1240.5,1408,1240.5,1777,1240.5,1240.5,"no"
"ENSMUSG00000038628",7.21,7.37,6.28,8,9.74,8.22,218,203,166,188,225,166,2899,2537.5,2822,2327.49,2516.45,2899,"no"
"ENSMUSG00000038630",0,0,0,0,0,0,0,0,0,0,0,0,2745,2745,2745,2745,2745,2745,"no"
"ENSMUSG00000038633",67.09,55.53,50.75,43.17,55.99,64.55,952,891,713,698,809,638,1360,1478.25,1499.97,1602.33,1574.85,1419.06,"no"
"ENSMUSG00000038637",1.74,1.87,1.76,2.23,1.98,1.93,50,49,41,48,46,34,2759.8,2416.46,2486.42,2134.92,2535.16,2526.91,"no"
"ENSMUSG00000038641",86.96,65.22,79.9,63.63,74.05,83.98,2253,1710,1840,1329,1672,1437,2483.19,2415.59,2458.71,2069.88,2460.66,2456.59,"no"
"ENSMUSG00000038642",36.55,39.01,35.97,40.37,40.97,33.64,498,553,440,532,491,306,1306,1306,1306,1306,1306,1306,"no"
"ENSMUSG00000038644",0.88,1.16,3.89,2.06,2.38,2.15,17,30,39,42,46,30,1856.71,2372.72,1069.56,2015.93,2102.69,2004.34,"no"
"ENSMUSG00000038646",25.52,15,16.69,13.98,15.99,23.27,373.64,228.48,219.29,197.93,205.89,227.44,1403,1403,1403,1403,1403,1403,"no"
"ENSMUSG00000038648",6.65,8.16,8.02,10.15,8.08,5.52,411,539,438,677,434,246,5921.4,6082.61,5827.96,6613.07,5855.71,6392.8,"no"
"ENSMUSG00000038650",62.44,60.23,60.64,61.98,63.3,58.71,1061,1070,925,1019,951,668,1628.69,1636.76,1628.54,1629.21,1637.41,1633.42,"no"
"ENSMUSG00000038651",0,0,0,0,0,0,0,0,0,0,0,0,905.33,905.33,905.33,905.33,905.33,905.33,"no"
"ENSMUSG00000038656",0.28,0.27,0.18,0.28,0.26,0.19,4.92,4.87,2.79,4.82,3.97,2.22,1681,1681,1681,1681,1681,1681,"no"
"ENSMUSG00000038658",9.67,10.15,9.8,6.88,9.78,11.07,578,511,472,338,378,341,5728.29,4637.08,5144.1,4870.71,4212.14,4420.8,"no"
"ENSMUSG00000038663",0,0.05,0.03,0.05,0.03,0,0,2,1,2,1,0,3936,3936,3936,3936,3936,3936,"no"
"ENSMUSG00000038664",6.67,6.98,7.49,5.12,8.16,6.45,945.45,881.84,792.29,661.84,762.56,546.27,13579.42,11641.81,11290.52,12803.22,10178.83,12156.89,"no"
"ENSMUSG00000038665",0,0,0.05,0,0,0,0,0,1,0,0,0,2724,2724,2053,2724,2724,2724,"no"
"ENSMUSG00000038668",0.27,0.32,0.75,0.78,1.04,0.36,9,11,10,7,10,8,3195,3146,1430,885.92,1052.97,3195,"no"
"ENSMUSG00000038670",0,0,0,0.03,0,0.12,0,0,0,1,0,3,3575,3575,3575,3575,3575,3575,"no"
"ENSMUSG00000038671",12.42,11.85,10.29,9.42,12.2,10.18,143,152.98,113.48,146.5,128.67,89.93,1103.63,1189.64,1177.81,1541.49,1149.45,1268.2,"no"
"ENSMUSG00000038676",0,0,0,0,0,0,0,0,0,0,0,0,455,455,455,455,455,455,"no"
"ENSMUSG00000038677",0.03,0,0.14,0.07,0.03,0.04,1,0,6,2,2,2,3018,3687.2,4744.8,3018,6650,6650,"no"
"ENSMUSG00000038679",0.25,0.31,0.13,0.12,0.21,0.16,22,12,12,12,16,11,8416.22,3554.81,9810,9810,8390.4,9810,"no"
"ENSMUSG00000038683",22.35,21.57,21.65,18.27,23.02,19.29,408,395.98,345.98,314,359,225,1749.92,1691.46,1706.46,1703.46,1699.59,1674.62,"no"
"ENSMUSG00000038685",6.18,9.12,4.64,6.95,5.46,6.66,125,147,116,162,136,109,1939.84,1484.92,2667.04,2311,2713.11,2349.3,"no"
"ENSMUSG00000038690",130.72,116.33,118.29,112.89,140.86,106.13,741,723,667,673,763,421.99,543.31,572.57,602.02,590.81,590.34,570.86,"no"
"ENSMUSG00000038691",0,0,0,0,0,0,0,0,0,0,0,0,795,795,795,795,795,795,"no"
"ENSMUSG00000038692",0.51,0.43,0.13,0.44,0.4,0.14,22,19,5,18,15,4,4100,4100,4100,4100,4100,4100,"no"
"ENSMUSG00000038695",40.66,47.49,54.31,71.69,57.07,61.05,304,375,362,508,371,281,716.56,727.5,711.65,702.2,708.54,660.77,"no"
"ENSMUSG00000038696",20.69,22.54,25.1,23.53,19.58,19.65,432,492,451,476,430,306,2001.25,2011.2,1918.21,2004.39,2393.32,2235.69,"no"
"ENSMUSG00000038697",4.53,5.25,6.32,4.64,5.96,4.76,134,161.58,168,134.05,155,94,2836,2836,2836,2863,2836,2836,"no"
"ENSMUSG00000038700",0.14,0.28,0.12,0.11,0.08,0.16,4,8.33,3,3,2,3.12,2763,2763,2763,2763,2763,2763,"no"
"ENSMUSG00000038702",0.3,0.19,0.19,0.14,0.34,0.3,18,12,10,8,18,12,5705,5705,5705,5705,5705,5705,"no"
"ENSMUSG00000038704",84.98,111.45,103.21,129.29,118.22,87.13,730,1013,833,1142,943,512,823.34,837.39,861.62,875.32,869.32,843.61,"no"
"ENSMUSG00000038705",6.73,5.96,6.32,4.76,4.71,4.81,187,185,167,155,131,90,2661.48,2859.8,2822.37,3225.77,3032.55,2685.65,"no"
"ENSMUSG00000038708",14.75,16.97,15.06,15.25,16.6,13.06,1152,1379,1056,1152,1140,681,7486,7486,7486,7486,7486,7486,"no"
"ENSMUSG00000038709",0,0,0,0,0,0,0,0,0,0,0,0,442,442,442,442,442,442,"no"
"ENSMUSG00000038712",58.13,55.26,41.35,41,36.5,39.82,942,1048,779.97,769,746,531.92,1553.04,1747.05,2013.87,1858.71,2227.63,1917.78,"no"
"ENSMUSG00000038717",82.92,116.97,115.64,136.65,109.55,88.72,399.71,586.58,500.43,637.06,464.39,285.51,462,462,462,462,462,462,"no"
"ENSMUSG00000038718",0.87,1.61,2.08,1.91,1.22,1.51,23,28,23,22,29,26,2538,1603.34,1181.22,1144,2593.69,2478.67,"no"
"ENSMUSG00000038721",0,0.15,0,0.08,0,0,0,2,0,1,0,0,781.5,1242,781.5,1242,781.5,781.5,"no"
"ENSMUSG00000038722",43.8,52.85,50.18,44.88,50.56,52.24,342.74,427.46,373.22,339.89,371.12,297.62,750.04,745.14,794,750.59,799.98,818,"no"
"ENSMUSG00000038725",0.02,0.04,0.08,0.2,0.2,0.25,2,6,10,26,23,22,12692.33,12692.29,12692.3,12692.32,12692.31,12692.32,"no"
"ENSMUSG00000038729",2.12,3.25,4.86,2.81,3.29,3.08,149,208.18,242,147.94,161,118.22,6736.64,5907.45,5313.03,5217.21,5333.09,5518.77,"no"
"ENSMUSG00000038732",0.03,0.03,0.04,0.17,0.31,0.64,1,1,1,5,8,7,2847,2847,2847,2847,2847,1577.57,"no"
"ENSMUSG00000038733",38.08,32.02,36.48,26.98,34,35.73,1810,1627,1474,1181,1211,1026,4555.14,4681.14,4313.24,4337.95,3881.52,4122.93,"no"
"ENSMUSG00000038736",7.05,6.41,8.81,5.21,7.24,7.33,250.11,236.6,280.54,178.58,225.84,173.57,3398,3398,3398,3398,3398,3398,"no"
"ENSMUSG00000038738",0,0.02,0,0.03,0,0.02,0,2,0,2,0,1,3303.86,7556,3303.86,6428,3303.86,6428,"no"
"ENSMUSG00000038740",0.45,1.09,0.72,1,0.74,0.61,23,41,30,22,30,21,4949,3467.43,4440,2170.67,4440,4949,"no"
"ENSMUSG00000038742",3.75,5.53,6.98,7.17,7.12,5.25,59.98,91.9,100.1,110.85,100.07,56,1532,1532,1532,1532,1532,1532,"no"
